China Zero-Carbon GW,,,,,,,,,
,,,,,,,,,
,Total Renewables (GW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) ,,
CHN Renewables 2023, 	1366 , 	519 , 	422 , 	384 , 	0 , 	40 , 	55 ,,
Forecast CHN Renewables 2030, 	2691 , 	1392 , 	796 , 	455 , 	4 , 	44 , 	66 ,,
,,,,,,,,,
Global Renewables (TW),CHN Renewables (GW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) ,,
8.0,2691,1392,796,455,4,44,66,,
8.5,2982,1599,872,463,4,44,66,,
9.0,3156,1732,909,466,5,44,66,,
9.5,3331,1864,947,470,5,44,66,,
10.0,3505,1997,985,474,5,45,66,,
10.5,3679,2129,1023,477,5,45,66,,
11.0,3854,2262,1060,481,6,45,66,,
11.5,4028,2394,1098,485,6,45,66,,
12.0,4202,2527,1136,489,6,45,66,,
12.5,4376,2659,1174,492,6,45,66,,
13.0,4551,2792,1211,496,6,45,66,,
13.5,4725,2924,1249,500,7,46,66,,
14.0,4899,3057,1287,503,7,46,66,,
14.5,5074,3189,1324,507,7,46,66,,
15.0,5248,3322,1362,511,7,46,66,,
