Europe Zero-Carbon GW,,,,,,,,,
,,,,,,,,,
,Total Renewables (GW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) ,,
EUR Renewables 2023, 	828 , 	294 , 	270 , 	214 , 	2 , 	47 , 	105 ,,
Forecast EUR Renewables 2030, 	1397 , 	706 , 	415 , 	225 , 	4 , 	47 , 	106 ,,
,,,,,,,,,
Global Renewables (TW),EUR Renewables (GW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) ,,
8.0,1397,706,415,225,4,47,106,,
8.5,1383,666,439,226,4,47,106,,
9.0,1423,695,450,227,5,47,106,,
9.5,1468,727,462,227,5,47,106,,
10.0,1513,759,473,228,5,47,106,,
10.5,1558,791,485,228,5,47,106,,
11.0,1597,820,496,229,5,47,106,,
11.5,1642,852,508,229,5,47,106,,
12.0,1687,884,520,230,5,47,106,,
12.5,1732,917,531,231,6,48,106,,
13.0,1772,945,542,231,6,48,106,,
13.5,1816,977,554,232,6,48,106,,
14.0,1861,1010,566,232,6,48,106,,
14.5,1906,1042,578,233,6,48,106,,
15.0,1946,1070,588,233,6,48,106,,
