Solar,Max GW, 	11206.8 , 	4113.0 , 	1287.3 , 	785.0 , 	1298.4 , 	586.2 , 	772.5 , 	1219.6 , 	238.2 , 	198.1 , 	708.5 
Solar,Min GW, 	1498.4 , 	519.2 , 	98.3 , 	60.0 , 	212.4 , 	22.5 , 	35.8 , 	294.3 , 	59.0 , 	19.6 , 	177.1 
Wind,Max GW, 	5134.8 , 	2193.3 , 	455.3 , 	294.3 , 	677.8 , 	228.4 , 	227.1 , 	642.1 , 	177.7 , 	62.8 , 	176.1 
Wind,Min GW, 	1076.4 , 	422.3 , 	56.6 , 	20.9 , 	185.4 , 	11.2 , 	13.0 , 	270.2 , 	64.3 , 	9.4 , 	23.1 
Hydropower,Max GW, 	1910.1 , 	514.2 , 	212.9 , 	86.7 , 	199.7 , 	117.3 , 	115.6 , 	233.9 , 	242.1 , 	98.8 , 	88.8 
Hydropower,Min GW, 	1358.2 , 	383.9 , 	75.9 , 	54.3 , 	181.7 , 	78.9 , 	60.5 , 	214.2 , 	203.8 , 	37.8 , 	67.3 
Geothermal,Max GW, 	63.1 , 	7.6 , 	3.0 , 	13.2 , 	8.5 , 	4.2 , 	8.6 , 	6.5 , 	2.8 , 	4.8 , 	3.8 
Geothermal,Min GW, 	17.3 , 	0.0 , 	0.0 , 	1.8 , 	3.9 , 	0.1 , 	4.8 , 	1.8 , 	2.1 , 	1.1 , 	1.7 
Biomass,Max GW, 	203.2 , 	46.2 , 	14.0 , 	6.7 , 	20.0 , 	5.7 , 	12.0 , 	47.6 , 	30.0 , 	3.3 , 	17.7 
Biomass,Min GW, 	172.2 , 	40.4 , 	12.2 , 	2.7 , 	17.2 , 	1.9 , 	9.4 , 	47.0 , 	22.81 , 	2.4 , 	16.3 
Nuclear,Max GW, 	467.2 , 	77.3 , 	20.4 , 	14.6 , 	110.0 , 	52.6 , 	0.3 , 	109.4 , 	7.6 , 	2.0 , 	73.0 
Nuclear,Min GW, 	391.5 , 	54.9 , 	12.0 , 	5.0 , 	104.0 , 	44.5 , 	0.1 , 	105.2 , 	5.1 , 	1.9 , 	58.9 
