Sub-Sahara Africa Zero-Carbon GW,,,,,,,,,
,,,,,,,,,
,Total Renewables (GW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) ,,
SSA Renewables 2023, 	70 , 	20 , 	9 , 	38 , 	1 , 	2 , 	2 ,,
Forecast SSA Renewables 2030, 	166 , 	66 , 	22 , 	73 , 	3 , 	3 , 	2 ,,
,,,,,,,,,
Global Renewables (TW),SSA Renewables (GW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) ,,
8.0,166,66,22,73,3,3,2,,
8.5,173,66,25,76,3,3,2,,
9.0,188,77,26,78,3,3,2,,
9.5,198,85,28,79,4,3,2,,
10.0,213,96,29,81,4,3,2,,
10.5,223,103,30,82,4,3,2,,
11.0,238,115,32,84,4,3,2,,
11.5,248,122,33,86,4,3,2,,
12.0,263,133,35,88,4,3,2,,
12.5,273,140,36,89,4,3,2,,
13.0,288,152,38,91,4,3,2,,
13.5,298,159,39,92,4,3,2,,
14.0,313,170,41,94,4,3,2,,
14.5,323,178,42,96,5,3,2,,
15.0,338,189,44,98,5,3,2,,
