				Global	CHN	IND	MEA	NAM	NEE	SEA	EUR	LAM	SSA	OPA
Installed Capacity	Solar	GW	2017	  390.662901 	  132.583900 	  19.031336 	  6.476645 	  46.308772 	  1.742405 	  4.329647 	  111.130428 	  5.576783 	  2.548356 	  60.934629 
Installed Capacity	Solar	GW	2018	  500.376232 	  177.784280 	  30.479812 	  9.944404 	  68.476880 	  2.756981 	  5.152362 	  118.631785 	  9.960764 	  3.732974 	  73.455990 
Installed Capacity	Solar	GW	2019	  610.498469 	  209.585900 	  37.858396 	  15.931220 	  83.328820 	  7.550600 	  11.487160 	  136.917280 	  15.191424 	  4.203686 	  88.443983 
Installed Capacity	Solar	GW	2020	  751.617364 	  260.452343 	  42.902188 	  18.420679 	  103.107173 	  9.607330 	  23.946538 	  158.341795 	  22.123447 	  7.088897 	  105.626975 
Installed Capacity	Solar	GW	2021	  906.469758 	  316.214050 	  58.795170 	  21.020766 	  129.616673 	  11.196900 	  26.595175 	  181.014896 	  30.887472 	  8.630993 	  122.497663 
Installed Capacity	Solar	GW	2022	  1,173.550656 	  404.709587 	  76.454607 	  42.532238 	  157.759287 	  17.122284 	  33.131810 	  235.673703 	  46.779034 	  12.997328 	  146.390778 
Installed Capacity	Solar	GW	2023	  1,498.402748 	  519.191736 	  98.315842 	  60.015785 	  212.437417 	  22.531004 	  35.834896 	  294.321457 	  59.025675 	  19.628172 	  177.100765 
Installed Capacity	Solar	GW	2024	  1,783.902301 	  637.950404 	  111.271326 	  68.103472 	  256.241601 	  28.952413 	  40.308334 	  340.462042 	  69.845709 	  23.849747 	  206.917254 
Installed Capacity	Solar	GW	2025	  2,090.049389 	  760.244040 	  132.130086 	  80.810839 	  301.322680 	  36.304719 	  44.867242 	  382.785474 	  81.163720 	  28.475158 	  241.945431 
Installed Capacity	Solar	GW	2026	  2,429.405892 	  889.074764 	  173.002300 	  95.431317 	  345.847345 	  44.951178 	  48.586033 	  433.389295 	  92.488184 	  34.958641 	  271.676835 
Installed Capacity	Solar	GW	2027	  2,767.043494 	  1,012.919159 	  217.096820 	  110.381131 	  392.649991 	  56.201076 	  53.445848 	  483.757773 	  103.829787 	  42.997626 	  293.764284 
Installed Capacity	Solar	GW	2028	  3,132.501693 	  1,144.473103 	  251.644858 	  125.847267 	  443.827923 	  64.686734 	  69.994979 	  537.938505 	  115.197092 	  50.451142 	  328.440089 
Installed Capacity	Solar	GW	2029	  3,501.835908 	  1,262.552978 	  279.892988 	  143.280547 	  494.607329 	  70.951568 	  102.253343 	  610.708203 	  127.096137 	  57.688078 	  352.804736 
Installed Capacity	Solar	GW	2030	  3,922.104215 	  1,392.083206 	  306.933990 	  163.163042 	  547.726265 	  80.041879 	  143.977254 	  705.544300 	  140.263203 	  65.822825 	  376.548250 
Installed Capacity	Wind	GW	2017	  576.037309 	  165.084000 	  35.691770 	  9.417890 	  114.143585 	  0.939000 	  1.372040 	  213.251973 	  21.994382 	  1.820345 	  12.322324 
Installed Capacity	Wind	GW	2018	  593.149626 	  210.837870 	  36.944640 	  10.579730 	  109.237110 	  1.600911 	  1.893300 	  182.471980 	  25.830410 	  2.908865 	  10.844810 
Installed Capacity	Wind	GW	2019	  651.889010 	  237.807860 	  39.118080 	  11.681620 	  118.930920 	  2.015230 	  2.593480 	  195.839770 	  29.160320 	  2.843340 	  11.898390 
Installed Capacity	Wind	GW	2020	  744.560403 	  290.098513 	  40.675200 	  13.383000 	  136.328119 	  3.087330 	  2.755670 	  208.296691 	  32.910599 	  3.476604 	  13.548677 
Installed Capacity	Wind	GW	2021	  826.651735 	  326.955184 	  42.009490 	  15.561875 	  151.245807 	  4.845948 	  6.146370 	  221.544496 	  38.625347 	  4.346884 	  15.370335 
Installed Capacity	Wind	GW	2022	  950.260859 	  376.108230 	  47.709474 	  18.932538 	  169.951437 	  8.680345 	  8.765947 	  245.560307 	  50.145011 	  5.515392 	  18.892177 
Installed Capacity	Wind	GW	2023	  1,076.400590 	  422.294227 	  56.558599 	  20.880575 	  185.434272 	  11.154829 	  13.021736 	  270.240727 	  64.268809 	  9.409005 	  23.137810 
Installed Capacity	Wind	GW	2024	  1,183.308916 	  461.843372 	  61.990474 	  23.512721 	  199.713485 	  14.819772 	  16.077500 	  284.334414 	  77.742327 	  12.494686 	  30.780164 
Installed Capacity	Wind	GW	2025	  1,289.855758 	  500.966371 	  63.116581 	  26.788326 	  214.920743 	  19.631068 	  19.290246 	  301.959129 	  84.891455 	  14.668833 	  43.623006 
Installed Capacity	Wind	GW	2026	  1,394.058700 	  541.186515 	  64.729267 	  30.758014 	  230.101585 	  22.542776 	  23.156817 	  321.691201 	  90.648511 	  15.200297 	  54.043715 
Installed Capacity	Wind	GW	2027	  1,497.751489 	  581.861629 	  69.256522 	  36.082433 	  245.938117 	  25.170693 	  27.568868 	  338.286783 	  96.585265 	  16.660675 	  60.340503 
Installed Capacity	Wind	GW	2028	  1,639.826945 	  640.780561 	  76.788761 	  44.046747 	  263.210835 	  28.687724 	  31.862342 	  360.919617 	  102.993503 	  18.784178 	  71.752678 
Installed Capacity	Wind	GW	2029	  1,808.673529 	  719.233488 	  88.660548 	  52.812974 	  282.203533 	  31.865977 	  36.848444 	  387.316749 	  109.366978 	  20.475739 	  79.889101 
Installed Capacity	Wind	GW	2030	  1,991.050713 	  796.245997 	  106.130045 	  61.936710 	  304.342187 	  34.268088 	  42.010505 	  415.446630 	  119.203146 	  21.746621 	  89.720784 
Installed Capacity	Solar and Wind	GW	2017	  966.700210 	  297.667900 	  54.723106 	  15.894535 	  160.452357 	  2.681405 	  5.701687 	  324.382401 	  27.571165 	  4.368701 	  73.256953 
Installed Capacity	Solar and Wind	GW	2018	  1,093.525858 	  388.622150 	  67.424452 	  20.524134 	  177.713990 	  4.357892 	  7.045662 	  301.103765 	  35.791174 	  6.641839 	  84.300800 
Installed Capacity	Solar and Wind	GW	2019	  1,262.387479 	  447.393760 	  76.976476 	  27.612840 	  202.259740 	  9.565830 	  14.080640 	  332.757050 	  44.351744 	  7.047026 	  100.342373 
Installed Capacity	Solar and Wind	GW	2020	  1,496.177767 	  550.550856 	  83.577388 	  31.803679 	  239.435292 	  12.694660 	  26.702208 	  366.638486 	  55.034047 	  10.565501 	  119.175651 
Installed Capacity	Solar and Wind	GW	2021	  1,733.121494 	  643.169234 	  100.804660 	  36.582641 	  280.862479 	  16.042848 	  32.741545 	  402.559393 	  69.512819 	  12.977877 	  137.867998 
Installed Capacity	Solar and Wind	GW	2022	  2,123.811515 	  780.817817 	  124.164081 	  61.464776 	  327.710723 	  25.802629 	  41.897757 	  481.234010 	  96.924045 	  18.512720 	  165.282955 
Installed Capacity	Solar and Wind	GW	2023	  2,574.803338 	  941.485963 	  154.874441 	  80.896359 	  397.871689 	  33.685833 	  48.856632 	  564.562184 	  123.294485 	  29.037177 	  200.238575 
Installed Capacity	Solar and Wind	GW	2024	  2,967.211217 	  1,099.793776 	  173.261800 	  91.616192 	  455.955087 	  43.772185 	  56.385833 	  624.796456 	  147.588036 	  36.344433 	  237.697418 
Installed Capacity	Solar and Wind	GW	2025	  3,379.905147 	  1,261.210411 	  195.246667 	  107.599166 	  516.243423 	  55.935787 	  64.157488 	  684.744603 	  166.055175 	  43.143992 	  285.568437 
Installed Capacity	Solar and Wind	GW	2026	  3,823.464592 	  1,430.261279 	  237.731568 	  126.189331 	  575.948930 	  67.493954 	  71.742850 	  755.080496 	  183.136695 	  50.158938 	  325.720550 
Installed Capacity	Solar and Wind	GW	2027	  4,264.794982 	  1,594.780787 	  286.353342 	  146.463563 	  638.588108 	  81.371769 	  81.014716 	  822.044556 	  200.415052 	  59.658301 	  354.104788 
Installed Capacity	Solar and Wind	GW	2028	  4,772.328638 	  1,785.253664 	  328.433619 	  169.894015 	  707.038758 	  93.374458 	  101.857321 	  898.858122 	  218.190595 	  69.235319 	  400.192768 
Installed Capacity	Solar and Wind	GW	2029	  5,310.509437 	  1,981.786466 	  368.553536 	  196.093521 	  776.810861 	  102.817544 	  139.101787 	  998.024952 	  236.463115 	  78.163817 	  432.693837 
Installed Capacity	Solar and Wind	GW	2030	  5,913.154928 	  2,188.329203 	  413.064034 	  225.099752 	  852.068451 	  114.309967 	  185.987759 	  1,120.990930 	  259.466350 	  87.569446 	  466.269034 
Installed Capacity	Total Renewable	GW	2017	  2,640.775977 	  599.646322 	  140.830847 	  131.873128 	  481.980390 	  95.030218 	  120.831679 	  609.614417 	  261.666542 	  26.496496 	  172.805938 
Installed Capacity	Total Renewable	GW	2018	  2,530.871203 	  765.129170 	  143.437043 	  72.318335 	  383.088040 	  82.073690 	  69.383048 	  561.581626 	  243.255774 	  42.067787 	  168.536690 
Installed Capacity	Total Renewable	GW	2019	  2,726.726639 	  831.797230 	  154.769526 	  80.172270 	  407.064480 	  91.051670 	  78.833480 	  594.265770 	  263.617734 	  40.032986 	  185.121493 
Installed Capacity	Total Renewable	GW	2020	  2,992.240187 	  955.674296 	  163.433068 	  86.873009 	  444.362732 	  94.681000 	  93.093208 	  628.589916 	  275.335337 	  45.433261 	  204.764361 
Installed Capacity	Total Renewable	GW	2021	  3,249.943822 	  1,056.761894 	  183.371690 	  92.677521 	  487.217708 	  98.626388 	  100.822075 	  667.543720 	  290.817931 	  48.161227 	  223.943668 
Installed Capacity	Total Renewable	GW	2022	  3,643.565097 	  1,202.086720 	  205.720741 	  118.167552 	  531.421180 	  105.830257 	  112.944310 	  742.324662 	  321.006991 	  54.756255 	  249.306429 
Installed Capacity	Total Renewable	GW	2023	  4,123.416813 	  1,365.843222 	  242.972246 	  139.591547 	  601.540173 	  114.520417 	  123.474125 	  827.520040 	  352.061355 	  70.330266 	  285.563422 
Installed Capacity	Total Renewable	GW	2024	  4,565.267383 	  1,537.812061 	  274.690084 	  152.143525 	  660.581871 	  125.114012 	  134.401493 	  889.572094 	  380.476368 	  86.480887 	  323.994989 
Installed Capacity	Total Renewable	GW	2025	  5,028.922601 	  1,710.197863 	  309.882523 	  169.089527 	  721.366594 	  138.783686 	  147.638226 	  951.645641 	  404.202134 	  101.094563 	  375.021844 
Installed Capacity	Total Renewable	GW	2026	  5,532.227712 	  1,887.445138 	  363.073668 	  191.661990 	  782.639999 	  161.193392 	  160.321990 	  1,024.876629 	  427.456281 	  114.263411 	  419.295214 
Installed Capacity	Total Renewable	GW	2027	  6,023.460063 	  2,067.674465 	  417.962725 	  216.757435 	  846.120286 	  179.862225 	  176.332791 	  1,094.530008 	  448.088452 	  126.557541 	  449.574135 
Installed Capacity	Total Renewable	GW	2028	  6,563.928089 	  2,264.543080 	  468.654408 	  245.737027 	  916.010095 	  193.795657 	  198.103855 	  1,172.186452 	  466.759234 	  140.081539 	  498.056743 
Installed Capacity	Total Renewable	GW	2029	  7,136.480819 	  2,470.450504 	  516.509591 	  276.303642 	  987.900270 	  205.154598 	  240.492092 	  1,272.547286 	  485.531428 	  150.684957 	  530.906452 
Installed Capacity	Total Renewable	GW	2030	  7,793.502359 	  2,691.363881 	  578.727372 	  308.683349 	  1,066.714424 	  218.595293 	  291.707737 	  1,397.385127 	  509.649561 	  166.090399 	  564.585216 
Installed Capacity	Total Zero-Carbon	GW	2017	  3,027.940977 	  639.197322 	  148.403847 	  132.788128 	  594.590390 	  134.204218 	  120.831679 	  728.298417 	  266.735542 	  28.356496 	  234.534938 
Installed Capacity	Total Zero-Carbon	GW	2018	  2,927.565203 	  812.415170 	  151.222043 	  73.233335 	  495.703040 	  122.840690 	  69.383048 	  683.058626 	  248.324774 	  43.927787 	  227.456690 
Installed Capacity	Total Zero-Carbon	GW	2019	  3,122.521639 	  879.103230 	  162.342526 	  81.087270 	  518.455480 	  132.952670 	  78.833480 	  714.314770 	  268.686734 	  41.892986 	  244.852493 
Installed Capacity	Total Zero-Carbon	GW	2020	  3,386.663261 	  1,007.141954 	  171.636071 	  89.133009 	  553.249290 	  137.851000 	  93.093209 	  744.718657 	  281.649337 	  47.293261 	  260.897474 
Installed Capacity	Total Zero-Carbon	GW	2021	  3,639.311075 	  1,109.684925 	  194.389148 	  96.282522 	  591.992129 	  140.871388 	  100.824585 	  778.036277 	  297.131931 	  50.021227 	  280.076943 
Installed Capacity	Total Zero-Carbon	GW	2022	  4,036.915392 	  1,256.878765 	  217.754800 	  123.117799 	  635.391374 	  149.184257 	  112.978303 	  852.073886 	  326.076639 	  56.616327 	  306.843242 
Installed Capacity	Total Zero-Carbon	GW	2023	  4,515.937945 	  1,420.769872 	  255.010172 	  144.541828 	  706.627599 	  158.983284 	  123.529101 	  932.699685 	  357.131273 	  72.190445 	  344.454686 
Installed Capacity	Total Zero-Carbon	GW	2024	  4,955.707928 	  1,592.838820 	  286.732638 	  157.093825 	  765.648737 	  169.576635 	  134.476690 	  992.552171 	  385.546539 	  88.341154 	  382.900719 
Installed Capacity	Total Zero-Carbon	GW	2025	  5,420.997992 	  1,765.303402 	  321.929038 	  175.384834 	  825.316046 	  183.245876 	  147.730415 	  1,054.666345 	  410.517482 	  102.954884 	  433.949672 
Installed Capacity	Total Zero-Carbon	GW	2026	  5,928.472697 	  1,943.632197 	  375.142297 	  197.985864 	  886.590015 	  206.814047 	  160.430071 	  1,128.135935 	  433.771821 	  116.154384 	  479.816067 
Installed Capacity	Total Zero-Carbon	GW	2027	  6,428.423586 	  2,124.092897 	  432.952467 	  223.345001 	  950.069597 	  226.075716 	  176.462240 	  1,199.754031 	  454.404282 	  128.460302 	  512.807051 
Installed Capacity	Total Zero-Carbon	GW	2028	  6,972.443398 	  2,321.274899 	  484.734521 	  253.438629 	  1,019.972125 	  241.122100 	  198.250574 	  1,275.637473 	  473.075492 	  141.988596 	  562.948989 
Installed Capacity	Total Zero-Carbon	GW	2029	  7,553.640963 	  2,531.019468 	  532.638476 	  284.979323 	  1,091.883366 	  253.592778 	  240.657809 	  1,377.917634 	  491.873294 	  152.598507 	  596.480307 
Installed Capacity	Total Zero-Carbon	GW	2030	  8,218.829101 	  2,757.516602 	  594.938750 	  318.473164 	  1,170.749722 	  267.120105 	  291.899905 	  1,503.587752 	  515.992185 	  168.018940 	  630.531977 
Installed Capacity	Total Fossil	GW	2017	  4,939.058224 	  1,101.835939 	  342.765821 	  548.538822 	  1,017.651725 	  417.742756 	  327.493777 	  519.384924 	  217.906438 	  70.116868 	  375.621154 
Installed Capacity	Total Fossil	GW	2018	  4,301.670317 	  1,179.922730 	  319.368018 	  441.388460 	  877.618370 	  285.201390 	  185.590142 	  424.049104 	  183.016162 	  81.340631 	  324.175310 
Installed Capacity	Total Fossil	GW	2019	  4,343.028560 	  1,208.674680 	  330.326640 	  453.833590 	  865.437370 	  292.648270 	  191.065010 	  410.222930 	  187.658660 	  81.204830 	  321.956580 
