,,,,Global,CHN,IND,MEA,NAM,NEE,SEA,EUR,LAM,SSA,OPA
Capacity Factor,,,,,,,,,,,,,,
Capacity Factor,Solar,%,2017,13%,10%,12%,12%,18%,9%,18%,12%,14%,20%,14%
Capacity Factor,Solar,%,2018,13%,13%,14%,14%,17%,9%,17%,13%,12%,15%,13%
Capacity Factor,Solar,%,2019,14%,12%,16%,16%,20%,8%,13%,11%,17%,15%,13%
Capacity Factor,Solar,%,2020,13%,12%,17%,17%,19%,10%,10%,11%,20%,10%,13%
Capacity Factor,Solar,%,2021,14%,13%,12%,16%,19%,11%,16%,14%,17%,12%,14%
Capacity Factor,Solar,%,2022,14%,12%,12%,11%,19%,10%,16%,13%,18%,12%,15%
Capacity Factor,Solar,%,2023,14%,12%,13%,14%,17%,11%,17%,13%,20%,11%,15%
Capacity Factor,Solar,%,2024,15%,13%,15%,17%,20%,11%,17%,14%,22%,13%,16%
Capacity Factor,Solar,%,2025,16%,13%,15%,18%,21%,12%,17%,15%,23%,13%,16%
Capacity Factor,Solar,%,2026,16%,14%,14%,18%,22%,12%,18%,15%,24%,13%,16%
Capacity Factor,Solar,%,2027,16%,14%,15%,20%,22%,12%,18%,15%,24%,14%,17%
Capacity Factor,Solar,%,2028,17%,14%,16%,20%,23%,13%,15%,16%,25%,15%,17%
Capacity Factor,Solar,%,2029,17%,15%,17%,21%,23%,14%,14%,15%,25%,15%,17%
Capacity Factor,Solar,%,2030,17%,15%,17%,21%,23%,14%,14%,14%,25%,15%,18%
Capacity Factor,Wind,%,2017,21%,19%,17%,30%,28%,19%,16%,18%,32%,28%,22%
Capacity Factor,Wind,%,2018,25%,18%,20%,32%,33%,20%,17%,26%,34%,31%,28%
Capacity Factor,Wind,%,2019,25%,20%,20%,29%,32%,23%,19%,25%,36%,33%,33%
Capacity Factor,Wind,%,2020,25%,18%,18%,30%,33%,24%,22%,26%,36%,29%,34%
Capacity Factor,Wind,%,2021,23%,19%,16%,28%,29%,18%,14%,26%,30%,20%,23%
Capacity Factor,Wind,%,2022,24%,23%,15%,26%,28%,17%,16%,24%,29%,19%,21%
Capacity Factor,Wind,%,2023,23%,20%,15%,28%,29%,22%,17%,24%,30%,17%,21%
Capacity Factor,Wind,%,2024,24%,20%,17%,29%,30%,23%,20%,26%,32%,21%,21%
Capacity Factor,Wind,%,2025,25%,21%,20%,29%,31%,24%,21%,26%,36%,26%,20%
Capacity Factor,Wind,%,2026,26%,21%,20%,29%,32%,28%,21%,27%,37%,29%,22%
Capacity Factor,Wind,%,2027,26%,21%,20%,29%,32%,30%,21%,27%,38%,29%,24%
Capacity Factor,Wind,%,2028,26%,21%,20%,29%,33%,30%,22%,27%,38%,28%,23%
Capacity Factor,Wind,%,2029,26%,21%,20%,30%,33%,31%,23%,27%,38%,29%,25%
