				Global	CHN	IND	MEA	NAM	NEE	SEA	EUR	LAM	SSA	OPA
Capacity Factor														
Capacity Factor	Solar	%	2017	12.666365%	10.475446%	11.715988%	11.904871%	17.516374%	9.219875%	18.195474%	12.402605%	13.871467%	20.101303%	13.890825%
Capacity Factor	Solar	%	2018	13.427320%	12.699147%	14.159204%	13.535074%	16.619977%	8.885487%	17.234168%	12.998100%	12.204348%	15.438432%	12.555457%
Capacity Factor	Solar	%	2019	13.674889%	12.483216%	15.590695%	16.357051%	19.996968%	7.897283%	12.618109%	11.432319%	16.775003%	14.819349%	12.754432%
Capacity Factor	Solar	%	2020	13.475793%	11.784342%	16.823660%	17.163651%	19.350773%	10.486226%	9.590556%	11.386647%	19.575194%	10.049174%	13.145729%
Capacity Factor	Solar	%	2021	14.341777%	12.575011%	11.660871%	16.324701%	18.907794%	10.947926%	16.164788%	14.323583%	17.442229%	11.672052%	14.365239%
Capacity Factor	Solar	%	2022	13.782408%	12.177117%	11.947216%	10.980148%	19.459706%	9.671697%	16.090581%	12.675167%	17.693768%	11.853923%	14.537096%
Capacity Factor	Solar	%	2023	13.872831%	12.094319%	12.961183%	13.502395%	17.331336%	10.675643%	17.361498%	13.077344%	20.388575%	11.432449%	14.691499%
Capacity Factor	Solar	%	2024	15.099285%	12.677158%	14.846667%	17.306372%	19.757269%	11.253772%	17.115088%	14.257134%	22.277669%	13.228253%	15.531699%
Capacity Factor	Solar	%	2025	15.768377%	13.311250%	14.881299%	17.683686%	21.344519%	11.754925%	17.255957%	14.942889%	23.087428%	13.198582%	15.868866%
Capacity Factor	Solar	%	2026	16.060089%	13.812774%	14.023126%	17.667598%	22.073598%	12.134380%	17.743466%	14.987471%	23.812271%	13.223894%	16.277147%
Capacity Factor	Solar	%	2027	16.474589%	14.141832%	14.706791%	19.667724%	22.454913%	12.156811%	17.565873%	15.372269%	24.307083%	13.600407%	16.726406%
Capacity Factor	Solar	%	2028	16.774613%	14.401705%	16.138469%	20.343949%	22.676273%	13.286738%	15.095545%	15.682287%	24.769353%	14.581556%	16.554538%
Capacity Factor	Solar	%	2029	17.033111%	14.778559%	17.006792%	20.811617%	22.964152%	14.096398%	13.707569%	15.269236%	25.065446%	14.944572%	17.328354%
Capacity Factor	Solar	%	2030	16.962853%	14.777432%	17.330977%	21.193008%	23.111492%	13.847344%	14.273224%	14.424013%	25.189058%	14.744031%	17.736768%
Capacity Factor	Wind	%	2017	21.028090%	18.924940%	17.039438%	29.990199%	28.114267%	19.337330%	16.414669%	17.976216%	31.546768%	27.619009%	21.977465%
Capacity Factor	Wind	%	2018	24.631612%	18.105859%	19.908438%	31.865615%	33.236122%	19.921554%	17.092256%	26.082479%	33.964808%	30.624392%	27.625311%
Capacity Factor	Wind	%	2019	24.866527%	19.603240%	19.754643%	29.364662%	32.298820%	23.147873%	18.834111%	25.300838%	36.284091%	33.186982%	32.648982%
Capacity Factor	Wind	%	2020	24.599751%	18.499319%	17.720414%	30.175831%	32.540272%	23.737021%	22.435681%	26.434793%	35.909896%	29.026811%	34.282056%
Capacity Factor	Wind	%	2021	23.309509%	19.075734%	15.704774%	28.213627%	29.025874%	18.402828%	13.941469%	25.976198%	30.230391%	19.605225%	23.451309%
