India Zero-Carbon GW,,,,,,,,,
,,,,,,,,,
,Total Renewables (GW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) ,,
IND Renewables 2024, 	269 , 	111 , 	57 , 	89 , 	0 , 	12 , 	12 ,,
Forecast IND Renewables 2030, 	579 , 	307 , 	106 , 	151 , 	1 , 	13 , 	16 ,,
,,,,,,,,,
Global Renewables (TW),IND Renewables (GW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) ,,
8.0,659,371,118,155,2,13,16,,
8.5,733,429,130,159,2,13,16,,
9.0,808,488,142,163,2,13,16,,
9.5,883,546,155,167,2,13,16,,
10.0,957,605,167,170,2,13,16,,
10.5,1032,664,179,174,2,13,16,,
11.0,1107,722,191,178,2,14,16,,
11.5,1182,781,203,182,2,14,16,,
12.0,1256,839,215,186,2,14,16,,
12.5,1331,898,227,190,2,14,16,,
13.0,1406,957,239,194,2,14,16,,
13.5,1481,1015,252,197,3,14,16,,
14.0,1555,1074,264,201,3,14,16,,
14.5,1630,1133,276,205,3,14,16,,
15.0,1705,1191,288,209,3,14,16,,
15.5,1780,1250,300,213,3,14,16,,
