Global Renewable Capacity Allocations,,,,Global TW to Technology Capacity GW,,,
,,,,,,,
,Total (TW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) 
Global Renewables 2024,  5 ,  1784 , 1183, 1405 ,  18 ,  175 ,  390 
Forecast Global Renewables 2030,  8 , 3922 , 1991 , 1657 ,  41 ,  182 ,  425 
,,,,,,,
Global Renewables 2030 (TW),Total (TW),Solar (GW),Wind (GW),Hydro (GW),Geo (GW),Bio (GW),Nuclear (GW) 
,8.0,4092,2086,1673,42,183,428
,8.5,4479,2181,1690,44,185,431
,9.0,4860,2275,1706,45,186,433
,9.5,5241,2368,1721,46,187,436
,10.0,5630,2463,1737,48,189,438
,10.5,6018,2559,1753,49,190,441
,11.0,6399,2652,1769,51,191,444
,11.5,6779,2745,1784,52,193,446
,12.0,7168,2840,1800,53,194,449
,12.5,7556,2936,1816,55,195,452
,13.0,7937,3029,1832,56,197,454
,13.5,8318,3123,1847,57,198,457
,14.0,8706,3218,1863,59,199,459
,14.5,9094,3313,1879,60,201,462
,15.0,9475,3406,1895,62,202,465
,15.5,9856,3500,1910,63,203,467
