,,,,Global,CHN,IND,MEA,NAM,NEE,SEA,EUR,LAM,SSA,OPA,,,,
Capacity Factor Calculations,,,,,,,,,,,,,,,,,,
Capacity Factor,Solar,GW,2017,13%,10%,12%,12%,18%,9%,18%,12%,14%,20%,14%,,,,
Capacity Factor,Solar,GW,2018,13%,13%,14%,14%,17%,9%,17%,13%,12%,15%,13%,,,,
Capacity Factor,Solar,GW,2019,14%,12%,16%,16%,20%,8%,13%,11%,17%,15%,13%,,,,
Capacity Factor,Solar,GW,2020,13%,12%,17%,17%,19%,10%,10%,11%,20%,10%,13%,,,,
Capacity Factor,Solar,GW,2021,14%,13%,12%,16%,19%,11%,16%,14%,17%,12%,14%,,,,
Capacity Factor,Solar,GW,2022,14%,12%,12%,11%,19%,10%,16%,13%,18%,12%,15%,,,,
Capacity Factor,Solar,GW,2023,14%,12%,13%,14%,17%,11%,17%,13%,20%,11%,15%,,,,
Capacity Factor,Solar,GW,2024,15%,13%,15%,17%,20%,11%,17%,14%,22%,13%,16%,,,,
Capacity Factor,Solar,GW,2025,16%,13%,15%,18%,21%,12%,17%,15%,23%,13%,16%,,,,
Capacity Factor,Solar,GW,2026,16%,14%,14%,18%,22%,12%,18%,15%,24%,13%,16%,,,,
Capacity Factor,Solar,GW,2027,16%,14%,15%,20%,22%,12%,18%,15%,24%,14%,17%,,,,
Capacity Factor,Solar,GW,2028,17%,14%,16%,20%,23%,13%,15%,16%,25%,15%,17%,,,,
Capacity Factor,Solar,GW,2029,17%,15%,17%,21%,23%,14%,14%,15%,25%,15%,17%,,,,
Capacity Factor,Solar,GW,2030,17%,15%,17%,21%,23%,14%,14%,14%,25%,15%,18%,,,,
Capacity Factor,Wind,GW,2017,21%,19%,17%,30%,28%,19%,16%,18%,32%,28%,22%,,,,
Capacity Factor,Wind,GW,2018,25%,18%,20%,32%,33%,20%,17%,26%,34%,31%,28%,,,,
Capacity Factor,Wind,GW,2019,25%,20%,20%,29%,32%,23%,19%,25%,36%,33%,33%,,,,
Capacity Factor,Wind,GW,2020,25%,18%,18%,30%,33%,24%,22%,26%,36%,29%,34%,,,,
Capacity Factor,Wind,GW,2021,23%,19%,16%,28%,29%,18%,14%,26%,30%,20%,23%,,,,
Capacity Factor,Wind,GW,2022,24%,23%,15%,26%,28%,17%,16%,24%,29%,19%,21%,,,,
Capacity Factor,Wind,GW,2023,23%,20%,15%,28%,29%,22%,17%,24%,30%,17%,21%,,,,
Capacity Factor,Wind,GW,2024,24%,20%,17%,29%,30%,23%,20%,26%,32%,21%,21%,,,,
Capacity Factor,Wind,GW,2025,25%,21%,20%,29%,31%,24%,21%,26%,36%,26%,20%,,,,
Capacity Factor,Wind,GW,2026,26%,21%,20%,29%,32%,28%,21%,27%,37%,29%,22%,,,,
Capacity Factor,Wind,GW,2027,26%,21%,20%,29%,32%,30%,21%,27%,38%,29%,24%,,,,
Capacity Factor,Wind,GW,2028,26%,21%,20%,29%,33%,30%,22%,27%,38%,28%,23%,,,,
Capacity Factor,Wind,GW,2029,26%,21%,20%,30%,33%,31%,23%,27%,38%,29%,25%,,,,
Capacity Factor,Wind,GW,2030,26%,22%,21%,31%,33%,32%,23%,27%,38%,31%,26%,,,,
Capacity Factor,Hydropower,GW,2017,41%,51%,38%,28%,47%,42%,23%,33%,50%,55%,20%,,,,
Capacity Factor,Hydropower,GW,2018,40%,42%,38%,25%,43%,41%,43%,30%,52%,47%,20%,,,,
Capacity Factor,Hydropower,GW,2019,38%,40%,41%,29%,42%,40%,40%,28%,43%,44%,21%,,,,
Capacity Factor,Hydropower,GW,2020,37%,40%,38%,26%,43%,41%,40%,30%,40%,44%,21%,,,,
Capacity Factor,Hydropower,GW,2021,41%,41%,37%,34%,49%,43%,43%,41%,46%,37%,21%,,,,
Capacity Factor,Hydropower,GW,2022,38%,41%,40%,26%,42%,40%,39%,33%,44%,42%,20%,,,,
Capacity Factor,Hydropower,GW,2023,35%,38%,34%,25%,39%,39%,35%,29%,40%,38%,19%,,,,
Capacity Factor,Hydropower,GW,2024,35%,38%,31%,25%,42%,40%,36%,30%,40%,35%,19%,,,,
Capacity Factor,Hydropower,GW,2025,36%,39%,33%,25%,42%,39%,36%,29%,41%,36%,19%,,,,
Capacity Factor,Hydropower,GW,2026,36%,40%,35%,24%,42%,36%,35%,28%,41%,39%,19%,,,,
Capacity Factor,Hydropower,GW,2027,37%,40%,35%,25%,42%,40%,37%,30%,41%,41%,20%,,,,
Capacity Factor,Hydropower,GW,2028,37%,41%,34%,25%,42%,40%,39%,30%,42%,41%,20%,,,,
Capacity Factor,Hydropower,GW,2029,37%,40%,36%,25%,42%,40%,37%,30%,42%,43%,20%,,,,
Capacity Factor,Hydropower,GW,2030,37%,39%,35%,25%,42%,40%,38%,30%,42%,42%,21%,,,,
Capacity Factor,Geothermal,GW,2017,68%,57%,-,107%,66%,58%,61%,57%,75%,174%,70%,,,,
Capacity Factor,Geothermal,GW,2018,76%,71%,-,84%,74%,35%,73%,79%,81%,87%,74%,,,,
Capacity Factor,Geothermal,GW,2019,69%,57%,-,73%,54%,62%,70%,84%,66%,80%,80%,,,,
Capacity Factor,Geothermal,GW,2020,62%,57%,-,69%,29%,63%,74%,83%,67%,69%,78%,,,,
Capacity Factor,Geothermal,GW,2021,71%,70%,-,71%,72%,49%,72%,75%,66%,61%,70%,,,,
Capacity Factor,Geothermal,GW,2022,67%,56%,11%,68%,69%,70%,66%,68%,68%,59%,70%,,,,
Capacity Factor,Geothermal,GW,2023,67%,70%,57%,68%,69%,70%,66%,68%,65%,63%,64%,,,,
Capacity Factor,Geothermal,GW,2024,66%,69%,69%,67%,71%,69%,63%,67%,67%,55%,67%,,,,
Capacity Factor,Geothermal,GW,2025,61%,71%,11%,64%,66%,59%,59%,66%,64%,42%,69%,,,,
Capacity Factor,Geothermal,GW,2026,58%,10%,13%,54%,68%,11%,65%,55%,61%,55%,55%,,,,
Capacity Factor,Geothermal,GW,2027,57%,25%,37%,44%,68%,23%,68%,53%,63%,68%,62%,,,,
Capacity Factor,Geothermal,GW,2028,60%,45%,35%,51%,66%,43%,70%,61%,62%,70%,66%,,,,
Capacity Factor,Geothermal,GW,2029,61%,56%,44%,59%,61%,47%,70%,57%,62%,70%,66%,,,,
Capacity Factor,Geothermal,GW,2030,63%,69%,52%,63%,60%,51%,70%,55%,61%,70%,66%,,,,
Capacity Factor,Biomass,GW,2017,15%,35%,16%,0%,7%,3%,8%,37%,18%,151%,31%,,,,
Capacity Factor,Biomass,GW,2018,55%,50%,53%,23%,52%,31%,52%,74%,33%,8%,52%,,,,
Capacity Factor,Biomass,GW,2019,55%,66%,41%,61%,52%,24%,51%,60%,42%,24%,62%,,,,
Capacity Factor,Biomass,GW,2020,52%,61%,31%,44%,50%,28%,51%,58%,45%,22%,53%,,,,
Capacity Factor,Biomass,GW,2021,62%,38%,47%,32%,61%,54%,78%,89%,49%,68%,71%,,,,
Capacity Factor,Biomass,GW,2022,58%,63%,3%,32%,74%,78%,78%,48%,64%,62%,80%,,,,
Capacity Factor,Biomass,GW,2023,59%,68%,4%,22%,63%,78%,79%,51%,63%,61%,80%,,,,
Capacity Factor,Biomass,GW,2024,53%,60%,3%,17%,51%,77%,74%,48%,51%,57%,80%,,,,
Capacity Factor,Biomass,GW,2025,47%,52%,3%,14%,48%,70%,69%,44%,39%,42%,77%,,,,
Capacity Factor,Biomass,GW,2026,41%,50%,4%,8%,45%,49%,60%,34%,30%,27%,76%,,,,
Capacity Factor,Biomass,GW,2027,40%,53%,5%,7%,44%,50%,58%,31%,24%,16%,77%,,,,
Capacity Factor,Biomass,GW,2028,41%,56%,4%,8%,43%,55%,62%,32%,21%,11%,78%,,,,
Capacity Factor,Biomass,GW,2029,42%,60%,6%,9%,42%,56%,67%,34%,21%,9%,77%,,,,
